"div","yr","pdsi","mon"
3,2011,-1.52,5
3,2012,-3.49,5
3,2013,-3.15,5
3,2014,-4.05,5
3,2015,-1.1,5
3,2016,-2.51,5
3,2017,0.86,5
3,2018,-5.05,5
3,2019,1.92,5
3,2020,2.24,5
5,1985,3.62,5
5,1986,-1.99,5
5,1987,-1.66,5
5,1988,0.22,5
5,1989,-2.53,5
5,1990,-2.89,5
5,1991,-0.3,5
5,1992,5.42,5
5,1993,12.44,5
5,1994,-1.23,5
5,1995,1.64,5
5,1996,-4.21,5
5,1997,-4.3,5
5,1998,5.02,5
5,1999,0.34,5
5,2000,-3.54,5
5,2001,-0.7,5
5,2002,-3.71,5
5,2003,-2.28,5
5,2004,-2.99,5
5,2005,8.6,5
5,2006,-2.7,5
5,2007,-3.45,5
5,2008,-1.85,5
5,2009,-2.05,5
5,2010,3.25,5
5,2011,-2.09,5
5,2012,-2.67,5
5,2013,-1.75,5
5,2014,-3.06,5
5,2015,-1.53,5
5,2016,-2.33,5
5,2017,-0.27,5
5,2018,-3.89,5
5,2019,-0.59,5
5,2020,-0.46,5
6,1985,3.76,5
6,1986,-1.17,5
6,1987,-0.36,5
6,1988,-0.6,5
6,1989,-2.63,5
6,1990,-3.16,5
6,1991,2.5,5
6,1992,5.26,5
6,1993,8.33,5
6,1994,-0.79,5
6,1995,2.19,5
6,1996,-3.94,5
6,1997,-3.8,5
6,1998,4.38,5
6,1999,-2.39,5
6,2000,-3.46,5
6,2001,-0.32,5
6,2002,-4.4,5
6,2003,-2.02,5
6,2004,-3.14,5
6,2005,4.68,5
6,2006,-3.53,5
6,2007,-3.72,5
6,2008,1.02,5
6,2009,-2.62,5
6,2010,2.12,5
6,2011,-2.93,5
6,2012,-4.13,5
6,2013,-2.85,5
6,2014,-3.87,5
6,2015,-1.7,5
6,2016,-2.81,5
6,2017,-2.63,5
6,2018,-5.3,5
6,2019,0.13,5
6,2020,2.58,5
7,1985,6.26,5
7,1986,1.92,5
7,1987,2.44,5
7,1988,0.5,5
7,1989,-2.77,5
7,1990,-3.43,5
7,1991,3.31,5
7,1992,6.14,5
7,1993,7.38,5
7,1994,-1.38,5
7,1995,3.95,5
7,1996,-4.19,5
7,1997,-2.49,5
7,1998,4.2,5
7,1999,-3.29,5
7,2000,-4.64,5
7,2001,3.87,5
7,2002,-4.01,5
7,2003,-3.15,5
7,2004,-2.35,5
7,2005,2.36,5
7,2006,-4.47,5
7,2007,-2.67,5
7,2008,-1.93,5
7,2009,-2.8,5
7,2010,2.24,5
7,2011,-3.91,5
7,2012,-3.66,5
7,2013,-3.75,5
7,2014,-4.26,5
7,2015,-0.05,5
7,2016,-2.25,5
7,2017,-2.55,5
7,2018,-4.94,5
7,2019,1.69,5
7,2020,3.09,5
1,1985,2.97,6
1,1986,-1.9,6
1,1987,-1.1,6
1,1988,1.85,6
1,1989,-3.56,6
1,1990,-2.89,6
1,1991,1.3,6
1,1992,4.11,6
1,1993,6.44,6
1,1994,-2.85,6
1,1995,4.51,6
1,1996,-4.95,6
1,1997,-4.53,6
1,1998,3.05,6
1,1999,-2.45,6
1,2000,-4.69,6
1,2001,-1.88,6
1,2002,-5.62,6
1,2003,-2.31,6
1,2004,-3.26,6
1,2005,7.23,6
1,2006,-3.47,6
1,2007,-5.81,6
1,2008,-1.9,6
1,2009,-2.34,6
1,2010,2.68,6
1,2011,0.37,6
1,2012,-3.61,6
1,2013,-3.53,6
1,2014,-4.91,6
1,2015,-2.43,6
1,2016,-2.48,6
1,2017,1.15,6
1,2018,-4.49,6
1,2019,4.09,6
1,2020,3.23,6
3,1985,2.81,6
3,1986,1.55,6
3,1987,-0.19,6
3,1988,2.4,6
3,1989,-3.78,6
3,1990,-2.94,6
3,1991,1.96,6
3,1992,3.69,6
3,1993,5.52,6
3,1994,-2.16,6
3,1995,3.03,6
3,1996,-5.31,6
3,1997,-3.43,6
3,1998,3.26,6
3,1999,-2.66,6
3,2000,-3.55,6
3,2001,0.05,6
3,2002,-5.42,6
3,2003,-2.79,6
3,2004,-3.61,6
3,2005,5.15,6
3,2006,-4.5,6
3,2007,-5.74,6
3,2008,-1.22,6
3,2009,-1.63,6
3,2010,2.03,6
3,2011,-1.91,6
3,2012,-4.01,6
3,2013,-3.51,6
3,2014,-4.59,6
3,2015,-0.87,6
3,2016,-3.05,6
3,2017,0.72,6
3,2018,-5.44,6
3,2019,2.35,6
3,2020,-0.06,6
5,1985,3.34,6
5,1986,-1.87,6
5,1987,-1.53,6
5,1988,0.04,6
5,1989,-2.48,6
5,1990,-2.61,6
5,1991,-0.44,6
5,1992,4.89,6
5,1993,12,6
5,1994,-1.3,6
5,1995,1.72,6
5,1996,-3.99,6
5,1997,-3.93,6
5,1998,5.71,6
5,1999,0.3,6
5,2000,-3.07,6
5,2001,-0.83,6
5,2002,-3.55,6
5,2003,-2.26,6
5,2004,-2.89,6
5,2005,8.15,6
5,2006,-2.39,6
5,2007,-3.31,6
5,2008,-1.89,6
5,2009,-2.01,6
5,2010,3.44,6
5,2011,-2.06,6
5,2012,-2.62,6
5,2013,-1.79,6
5,2014,-2.96,6
5,2015,-1.24,6
5,2016,-2.24,6
5,2017,-0.38,6
5,2018,-3.68,6
5,2019,-0.74,6
5,2020,-0.62,6
6,1985,3.29,6
6,1986,-1.41,6
6,1987,-0.57,6
6,1988,-0.8,6
6,1989,-2.87,6
6,1990,-3.24,6
6,1991,2.56,6
6,1992,5.66,6
6,1993,7.93,6
6,1994,-1.13,6
6,1995,2.47,6
6,1996,-4.1,6
6,1997,-3.9,6
6,1998,5.34,6
6,1999,-2.58,6
6,2000,-3.22,6
6,2001,-0.74,6
6,2002,-4.54,6
6,2003,-2.17,6
6,2004,-3.38,6
6,2005,4.52,6
6,2006,-3.63,6
6,2007,-3.9,6
6,2008,1.04,6
6,2009,-2.85,6
6,2010,2.26,6
6,2011,-3.2,6
6,2012,-4.24,6
6,2013,-3.06,6
6,2014,-4.07,6
6,2015,-1.58,6
6,2016,-2.8,6
6,2017,-2.84,6
6,2018,-5.02,6
6,2019,0.13,6
6,2020,-0.45,6
7,1985,6.19,6
7,1986,1.43,6
7,1987,2.49,6
7,1988,0.26,6
7,1989,-3.24,6
7,1990,-3.68,6
7,1991,3.43,6
7,1992,6.8,6
7,1993,7.33,6
7,1994,-1.82,6
7,1995,4.44,6
7,1996,-4.02,6
7,1997,-2.71,6
7,1998,4.78,6
7,1999,-3.48,6
7,2000,-3.58,6
7,2001,3.95,6
7,2002,-4.54,6
7,2003,-3.54,6
7,2004,-2.8,6
7,2005,2.18,6
7,2006,-4.4,6
7,2007,-2.89,6
7,2008,-1.99,6
7,2009,-2.6,6
7,2010,2.21,6
7,2011,-4.31,6
7,2012,-3.91,6
7,2013,-4.15,6
7,2014,-4.72,6
7,2015,0.33,6
7,2016,-2.04,6
7,2017,-2.91,6
7,2018,-4.62,6
7,2019,-0.13,6
7,2020,-0.01,6
1,1985,2.82,7
1,1986,-2,7
1,1987,-1.33,7
1,1988,1.48,7
1,1989,-3.79,7
1,1990,0.6,7
1,1991,-0.32,7
1,1992,3.27,7
1,1993,-0.66,7
1,1994,-3.17,7
1,1995,-0.24,7
1,1996,-5.16,7
1,1997,-4.78,7
1,1998,3.76,7
1,1999,-1.13,7
1,2000,-5.28,7
1,2001,-2.21,7
1,2002,-5.82,7
1,2003,-2.79,7
1,2004,-3.7,7
1,2005,-0.27,7
1,2006,-3.16,7
1,2007,-5.42,7
1,2008,-2.15,7
1,2009,-2.79,7
1,2010,-0.68,7
1,2011,-0.22,7
1,2012,-2.67,7
1,2013,-3.29,7
1,2014,-4.43,7
1,2015,-1.84,7
1,2016,-2.72,7
1,2017,2.07,7
1,2018,-3.41,7
1,2019,-0.71,7
1,2020,-0.97,7
3,1985,2.82,7
3,1986,1.81,7
3,1987,-0.51,7
3,1988,2.19,7
3,1989,-3.72,7
3,1990,1.21,7
3,1991,-0.32,7
3,1992,3.4,7
3,1993,-1,7
3,1994,-2.75,7
3,1995,-0.57,7
3,1996,-5.09,7
3,1997,-4.15,7
3,1998,4.03,7
3,1999,1.06,7
3,2000,-4.53,7
3,2001,-0.56,7
3,2002,-5.76,7
3,2003,-3.23,7
3,2004,-3.88,7
3,2005,-0.22,7
3,2006,-4.28,7
3,2007,-4.71,7
3,2008,-0.95,7
3,2009,-2.07,7
3,2010,-0.07,7
3,2011,-2.05,7
3,2012,-2.92,7
3,2013,-2.82,7
3,2014,-4.22,7
3,2015,-0.98,7
3,2016,-3.55,7
3,2017,1.48,7
3,2018,0.86,7
3,2019,-0.76,7
3,2020,-1.09,7
5,1985,2.73,7
5,1986,0.51,7
5,1987,-1.6,7
5,1988,0,7
5,1989,-1.88,7
5,1990,-1.74,7
5,1991,-0.98,7
5,1992,3.83,7
5,1993,-0.8,7
5,1994,-1.22,7
5,1995,-0.53,7
5,1996,-4.29,7
5,1997,-3.41,7
5,1998,5.64,7
5,1999,1.4,7
5,2000,-3.56,7
5,2001,-0.79,7
5,2002,-3.86,7
5,2003,-2.3,7
5,2004,-3.05,7
5,2005,7.2,7
5,2006,-2.27,7
5,2007,-2.11,7
5,2008,-1.34,7
5,2009,-2.15,7
5,2010,-0.63,7
5,2011,-1.06,7
5,2012,1.33,7
5,2013,1.3,7
5,2014,0.79,7
5,2015,-0.99,7
5,2016,-2.56,7
5,2017,-0.59,7
5,2018,1.64,7
5,2019,-1.41,7
5,2020,-1.41,7
6,1985,2.99,7
6,1986,0.36,7
6,1987,-1.13,7
6,1988,-0.82,7
6,1989,-2.82,7
6,1990,1.09,7
6,1991,-0.7,7
